subject_id,subject_name,professor,user_major,wishlist_actions,timetable_actions,unique_users
9376,예술과친구하기,이계원,컴퓨터공학부,1,5,6
9694,법여성학,김수진,법학부,2,6,6
9699,헌법연습 I,김영진,법학부,4,2,6
9754,일본어독해작문(2),기타우치 다이토,동북아국제통상전공,1,5,6
9760,중급중국어회화,전걸,동북아국제통상전공,1,5,6
9761,한중경제관계론,김민수,동북아국제통상전공,0,6,6
9783,무기화학,한상길,나노바이오공학전공,1,6,6
9785,나노바이오실험1,이승호,나노바이오공학전공,2,4,6
9789,바이오 센서 공학,한상길,나노바이오공학전공,2,5,6
9791,종합설계및세미나1,송영준,나노바이오공학전공,1,6,6
9807,생체재료 및 조직공학,양기석,생명공학전공,1,6,6
9809,대학수학(1),김기태,생명공학전공,1,6,6
9830,미생물및생화학실험,예정용,분자의생명전공,3,5,6
9831,미생물및생화학실험,봉지홍,분자의생명전공,2,6,6
9854,동물분류및형태학,배양섭,생명과학전공,1,6,6
9855,동물분류생태실험,김길원,생명과학전공,2,6,6
9856,분자생물학,최재혁,생명과학전공,1,6,6
9871,생물학기초(1),강기윤,분자의생명전공,4,3,6
9874,생물학기초실험(1),봉지홍,분자의생명전공,2,4,6
9881,화학실험,강동구,분자의생명전공,1,6,6
9886,건축환경,이동석,도시건축학전공,1,5,6
9887,서양건축사,신은기,도시건축학전공,1,5,6
9899,지속가능한 도시,김한규,도시건축학전공,1,5,6
9901,도시계획유산연구,최정윤,도시건축학전공,3,3,6
9903,한국건축사,김대한,도시건축학전공,2,4,6
9930,친환경건축설비,장현숙,건축공학전공,1,6,6
9988,환경공학세미나1,이도균,환경공학전공,3,5,6
10004,확률및통계,김경희,건설환경공학전공,0,6,6
10009,도시지공학실무(1),권용희,건설환경공학전공,0,6,6
10024,Hydroinformatics,장동우,건설환경공학전공,1,6,6
10029,도로공학,박정희,건설환경공학전공,1,6,6
10039,엔지니어링소프트웨어,유지예,환경공학전공,5,5,6
10040,도시데이터마이닝,양욱재,도시행정학과,0,6,6
10157,일본어학개론,조선영,일어교육과,0,6,6
10229,장애및질환에따른신체활동,김동일,운동건강학부,1,6,6
10232,운동부하검사,미배정,운동건강학부,0,6,6
10274,스포츠커뮤니케이션,박상혁,스포츠과학부,0,6,6
10302,Sports Data Analytics,김종원,스포츠과학부,1,6,6
10309,테니스기초,임새미,스포츠과학부,1,6,6
10317,신체교정운동,김찬기,스포츠과학부,1,6,6
10360,자기설계세미나 I,안혜신,디자인학부,4,5,6
10361,자기설계세미나 I,한혜진,디자인학부,2,4,6
10377,3D 컴퓨터 디자인,홍민석,디자인학부,2,4,6
10394,광고디자인스튜디오,이상혁,디자인학부,3,4,6
10403,인포그래픽디자인,이은영,디자인학부,3,4,6
10460,세법총론,전흥재,세무회계학과,2,4,6
10468,IT활용회계,황희주,세무회계학과,2,6,6
10498,MIS개론,박천웅,경영학부,3,3,6
10501,경영과학,김서영,경영학부,5,4,6
10502,경영과학,김태호,경영학부,3,5,6
10504,경영과학,이상훈,경영학부,1,5,6
10528,원가회계,박영규,경영학부,0,6,6
10545,C언어프로그래밍(2),강석훈,임베디드시스템공학과,1,6,6
10572,인공지능ICT융합개론1,노송,정보통신공학과,4,4,6
10574,전자물리,이병주,정보통신공학과,1,6,6
10578,데이터베이스,유제진,정보통신공학과,4,2,6
10590,확률이론,안승환,정보통신공학과,0,6,6
10596,빅데이터프로그래밍,우요섭,정보통신공학과,1,5,6
10611,캡스톤디자인(1),이병주,정보통신공학과,2,6,6
10620,대학수학(1),한상현,컴퓨터공학부,4,2,6
10626,프로그래밍입문,채진석,컴퓨터공학부,3,4,6
10653,데이터통신,최승식,컴퓨터공학부,3,3,6
10660,CAPSTONE DESIGN,채진석,컴퓨터공학부,2,5,6
10665,CAPSTONE DESIGN,이현규,컴퓨터공학부,2,4,6
10674,화학생물,이탁기,바이오-로봇시스템공학과,1,6,6
10677,자기설계세미나,박상인,바이오-로봇시스템공학과,1,6,6
10689,생체계측및의공학,조영욱,바이오-로봇시스템공학과,2,5,6
10691,수치해석,한유성,바이오-로봇시스템공학과,2,5,6
10700,대학수학(1),문병수,에너지화학공학과,0,6,6
10743,산업안전심리,백동현,안전공학과,0,6,6
10744,수리수문학,송창근,안전공학과,0,6,6
10751,물리(1),김완선,신소재공학과,2,5,6
10770,산업경영공학개론,장석화,산업경영공학과,4,2,6
10820,소프트웨어입문,김교선,전자공학부,3,3,6
10821,복소함수및벡터,구경헌,전자공학과,3,3,6
