day_of_week,start_time,end_time,subject_count,wishlist_count,wishlist_user_count,timetable_count,timetable_user_count,total_saved_actions
월,5.0,10.0,1,0.0,0.0,6.0,6.0,6.0
화,1.0,7.0,1,4.0,4.0,2.0,2.0,6.0
수,18.0,11.0,1,1.0,1.0,5.0,5.0,6.0
금,6.0,7.0,1,3.0,3.0,3.0,3.0,6.0
토,2.5,4.0,1,0.0,0.0,6.0,6.0,6.0
수,4.0,10.0,2,0.0,0.0,5.0,5.0,5.0
화,11.0,13.0,1,2.0,2.0,3.0,3.0,5.0
화,18.0,11.0,1,1.0,1.0,4.0,4.0,5.0
수,10.0,11.0,1,2.0,2.0,3.0,3.0,5.0
월,18.0,11.0,1,0.0,0.0,4.0,4.0,4.0
화,8.0,11.0,1,0.0,0.0,4.0,4.0,4.0
목,5.0,6.0,1,1.0,1.0,3.0,3.0,4.0
목,9.0,12.0,1,1.0,1.0,3.0,3.0,4.0
목,11.0,13.0,1,2.0,2.0,2.0,2.0,4.0
토,5.0,9.0,1,2.0,2.0,2.0,2.0,4.0
월,5.0,9.0,3,1.0,1.0,2.0,2.0,3.0
월,10.0,11.0,1,2.0,2.0,1.0,1.0,3.0
금,2.0,6.0,1,2.0,2.0,1.0,1.0,3.0
금,5.0,6.0,1,1.0,1.0,2.0,2.0,3.0
금,17.0,19.0,1,1.0,1.0,2.0,2.0,3.0
화,2.0,6.0,2,1.0,1.0,1.0,1.0,2.0
금,12.0,14.0,2,0.0,0.0,2.0,2.0,2.0
화,9.0,12.0,1,0.0,0.0,2.0,2.0,2.0
화,11.0,12.0,1,1.0,1.0,1.0,1.0,2.0
토,1.0,5.0,1,0.0,0.0,2.0,2.0,2.0
월,8.0,9.0,1,1.0,1.0,0.0,0.0,1.0
월,17.0,11.0,1,0.0,0.0,1.0,1.0,1.0
화,9.0,11.0,1,0.0,0.0,1.0,1.0,1.0
목,2.0,6.0,1,0.0,0.0,1.0,1.0,1.0
