source,subject_id_a,subject_name_a,professor_a,subject_id_b,subject_name_b,professor_b,co_user_count
wishlist,10492,회계원리,이현주,10493,회계원리,이현주,6
wishlist,10497,MIS개론,박천웅,10499,MIS개론,김태훈,6
wishlist,10508,마케팅원론,박은하,10509,마케팅원론,박은하,6
wishlist,10644,기계학습,이상엽,10645,기계학습,김인수,6
wishlist,10644,기계학습,이상엽,10647,데이터베이스,박기석,6
wishlist,10644,기계학습,이상엽,10649,운영체제,미배정,6
wishlist,10645,기계학습,김인수,10649,운영체제,미배정,6
wishlist,10645,기계학습,김인수,10650,운영체제,박문주,6
wishlist,10645,기계학습,김인수,10651,운영체제,한재현,6
wishlist,10646,데이터베이스,박기석,10647,데이터베이스,박기석,6
wishlist,10647,데이터베이스,박기석,10651,운영체제,한재현,6
wishlist,10773,확률및통계(1),류도현,10774,확률및통계(1),류도현,6
wishlist,10773,확률및통계(1),류도현,10777,확정적경영과학,이종헌,6
wishlist,10774,확률및통계(1),류도현,10775,인간공학,최서빈,6
wishlist,10780,제품개발프로세스,박기정,10781,제품개발프로세스,박기정,6
wishlist,10796,회로이론및실습,송준영,10836,전자기학,서정현,6
wishlist,10798,회로이론,박창주,10835,전자기학,서정현,6
wishlist,10798,회로이론,박창주,10836,전자기학,서정현,6
wishlist,10799,회로이론,박창주,10823,복소함수및벡터,구경헌,6
wishlist,10799,회로이론,박창주,10824,스마트시스템입문,김영현,6
wishlist,10800,회로이론,김태훈,10829,디지털실험,김영현,6
wishlist,10815,선형대수학,변윤식,10816,선형대수학,변윤식,6
wishlist,10815,선형대수학,변윤식,10817,선형대수학,변윤식,6
wishlist,10821,복소함수및벡터,구경헌,10824,스마트시스템입문,김영현,6
wishlist,10821,복소함수및벡터,구경헌,10827,스마트시스템입문,김영현,6
wishlist,10822,복소함수및벡터,구경헌,10827,스마트시스템입문,김영현,6
wishlist,10823,복소함수및벡터,구경헌,10826,스마트시스템입문,조정완,6
wishlist,10823,복소함수및벡터,구경헌,10827,스마트시스템입문,김영현,6
wishlist,10823,복소함수및벡터,구경헌,10830,디지털실험,이경순,6
wishlist,10823,복소함수및벡터,구경헌,10837,프로그래밍언어,최욱,6
wishlist,10824,스마트시스템입문,김영현,10830,디지털실험,이경순,6
wishlist,10824,스마트시스템입문,김영현,10838,프로그래밍언어,최욱,6
wishlist,10826,스마트시스템입문,조정완,10836,전자기학,서정현,6
wishlist,10826,스마트시스템입문,조정완,10837,프로그래밍언어,최욱,6
wishlist,10827,스마트시스템입문,김영현,10829,디지털실험,김영현,6
wishlist,10827,스마트시스템입문,김영현,10837,프로그래밍언어,최욱,6
wishlist,10827,스마트시스템입문,김영현,10838,프로그래밍언어,최욱,6
wishlist,10829,디지털실험,김영현,10833,전자기학,전석희,6
wishlist,10829,디지털실험,김영현,10835,전자기학,서정현,6
wishlist,10830,디지털실험,이경순,10835,전자기학,서정현,6
wishlist,10833,전자기학,전석희,10834,전자기학,전석희,6
wishlist,10837,프로그래밍언어,최욱,10838,프로그래밍언어,최욱,6
wishlist,10839,반도체소자,정은교,10847,전자회로실험,유종근,6
wishlist,10840,반도체소자,정은교,10846,전자회로실험,이병진,6
wishlist,10840,반도체소자,정은교,10851,신호및시스템,변상원,6
wishlist,10842,전자회로,유종근,10844,전자회로,유종근,6
wishlist,10842,전자회로,유종근,10851,신호및시스템,변상원,6
wishlist,10842,전자회로,유종근,10854,인공지능,조환호,6
wishlist,10843,전자회로,유종근,10845,전자회로,유종근,6
wishlist,10845,전자회로,유종근,10847,전자회로실험,유종근,6
wishlist,10845,전자회로,유종근,10848,전자회로실험,유종근,6
wishlist,10845,전자회로,유종근,10849,전자회로실험,이병진,6
wishlist,10845,전자회로,유종근,10853,인공지능,조환호,6
wishlist,10846,전자회로실험,이병진,10851,신호및시스템,변상원,6
wishlist,10847,전자회로실험,유종근,10848,전자회로실험,유종근,6
wishlist,10857,캡스턴디자인1,홍연찬,10862,제어공학,유세선,6
wishlist,10869,공학수학(1),안덕주,10875,전자기학(1),이우찬,6
wishlist,10869,공학수학(1),안덕주,10881,전기에너지와이노베이션,김학만,6
wishlist,10875,전자기학(1),이우찬,10877,회로이론(1),정영식,6
wishlist,10875,전자기학(1),이우찬,10881,전기에너지와이노베이션,김학만,6
wishlist,10936,고체역학1,박동삼,10939,공업열역학1,김상문,6
wishlist,10995,가계재무상담,곽민주,10998,신용관리론,곽민주,6
wishlist,11017,국제무역론,이윤,11023,물류개론,안영효,6
wishlist,11017,국제무역론,이윤,11024,물류개론,안영효,6
wishlist,11023,물류개론,안영효,11024,물류개론,안영효,6
timetable,9090,NCS의 이해,취업경력개발원,9092,공직사회의이해,미배정,5
timetable,9090,NCS의 이해,취업경력개발원,9108,커리어로드맵,취업경력개발원,5
timetable,9126,교육평가,김성연,10139,수학교과교육론,왕효원,5
timetable,9126,교육평가,김성연,10140,해석학,윤영훈,5
timetable,9126,교육평가,김성연,10142,조합및그래프이론,하구용,5
timetable,9126,교육평가,김성연,10143,집합론,장규환,5
timetable,9154,INU전공탐구,융합자유전공대학,11592,Academic English,김연정,5
timetable,9155,MBTI로찾아가는나의책,박상원,9199,심리학의이해,서신화,5
timetable,9155,MBTI로찾아가는나의책,박상원,9207,영화속으로들어간클래식음악,김상림,5
timetable,9204,열린사회와다문화,정선주,9794,물리화학,양기석,5
timetable,9204,열린사회와다문화,정선주,9795,유기화학(1),박경민,5
timetable,9204,열린사회와다문화,정선주,9796,미생물공학,이동택,5
timetable,9204,열린사회와다문화,정선주,9798,식품공학개론,서명지,5
timetable,9207,영화속으로들어간클래식음악,김상림,9374,영화로배우는독성학개론,예정용,5
timetable,9254,Introduction to Film and Media Studies,조지민,9288,기업가정신,창업지원단,5
timetable,9288,기업가정신,창업지원단,9325,미생물학입문,교육혁신본부,5
timetable,9288,기업가정신,창업지원단,9374,영화로배우는독성학개론,예정용,5
timetable,9300,대중매체속바이오테크놀로지,예정용,9366,역사초보자를위한한국사엿보기,교육혁신본부,5
timetable,9327,배움특강,학생취업처,9376,예술과친구하기,이계원,5
timetable,9327,배움특강,학생취업처,12152,4차산업혁명기술과자동차이야기,OCU,5
timetable,9367,연극예술과문화생활,박근수,9375,영화예술과문화생활,박근수,5
timetable,9374,영화로배우는독성학개론,예정용,9376,예술과친구하기,이계원,5
timetable,9671,민법총칙,맹광호,9674,법학개론,노영돈,5
timetable,9679,헌법(2),김영진,9685,형사소송법,정배근,5
timetable,9683,민사소송법(1),김호,9693,국제기구법,장석영,5
timetable,9683,민사소송법(1),김호,9694,법여성학,김수진,5
timetable,9693,국제기구법,장석영,9696,상속법,진도왕,5
