subject_id,course_code,semester,active,subject_name,professor,department,grade,subject_type,class_method,credits,is_night,wishlist_count,wishlist_user_count,required_count,avg_wishlist_priority,timetable_count,timetable_user_count,combined_user_count,total_saved_actions,first_wishlist_at,last_wishlist_at,first_timetable_at,last_timetable_at
10963,,,True,유체역학(2),권재성,기계공학과,3.0,전심,OFFLINE,3,False,1,1,1,3.0,0,0,1,1,2026-02-02 01:55:02.344528,2026-02-02 01:55:02.344528,,
10974,,,True,기계설계,우창기,기계공학과,4.0,전심,OFFLINE,3,False,0,0,0,,1,1,1,1,,,2026-02-02 01:49:43.378610,2026-02-02 01:49:43.378610
10982,,,True,캡스톤디자인2,김경태,기계공학과,4.0,전심,OFFLINE,3,True,0,0,0,,1,1,1,1,,,2026-02-03 04:37:31.996303,2026-02-03 04:37:31.996303
11045,,,True,인공지능기반의사결정,김경원,무역학부,4.0,전심,OFFLINE,3,False,0,0,0,,1,1,1,1,,,2026-02-03 08:48:00.480040,2026-02-03 08:48:00.480040
11074,,,True,코딩거시경제학,황상연,경제학과,4.0,전심,OFFLINE,3,False,1,1,0,3.0,0,0,1,1,2026-02-04 04:31:08.880559,2026-02-04 04:31:08.880559,,
11098,,,True,E거버넌스,서진완,행정학과,3.0,전심,OFFLINE,3,False,0,0,0,,1,1,1,1,,,2026-02-03 03:34:30.449383,2026-02-03 03:34:30.449383
11117,,,True,경력개발과 HRD,김은수,창의인재개발학과,3.0,전심,OFFLINE,3,False,0,0,0,,1,1,1,1,,,2026-02-03 12:10:46.947396,2026-02-03 12:10:46.947396
11125,,,True,RISE,왕린,문헌정보학과,,전심,OFFLINE,3,False,0,0,0,,1,1,1,1,,,2026-02-02 07:42:36.296254,2026-02-02 07:42:36.296254
11167,,,True,사회보장론,송다영,사회복지학과,2.0,전심,OFFLINE,3,False,1,1,0,3.0,0,0,1,1,2026-02-03 12:36:12.265535,2026-02-03 12:36:12.265535,,
11189,,,True,자기설계세미나 I,김연정,해양학과,1.0,전기,OFFLINE,1,False,0,0,0,,1,1,1,1,,,2026-02-04 08:56:33.336325,2026-02-04 08:56:33.336325
11227,,,True,캡스톤패션디자인,이현승,패션산업학과,4.0,전심,OFFLINE,3,False,1,1,0,3.0,0,0,1,1,2026-02-04 08:41:10.734557,2026-02-04 08:41:10.734557,,
11300,,,True,일반화학실험(1),권태현,수학과,1.0,전기,OFFLINE,1,False,0,0,0,,1,1,1,1,,,2026-02-03 10:29:37.397952,2026-02-03 10:29:37.397952
11301,,,True,일반화학실험(1),김태현,수학과,1.0,전기,OFFLINE,1,False,1,1,0,3.0,0,0,1,1,2026-02-04 17:05:16.439693,2026-02-04 17:05:16.439693,,
11357,,,True,일본어학사,김종완,일본지역문화학과,3.0,전심,OFFLINE,3,False,0,0,0,,1,1,1,1,,,2026-02-02 13:53:10.324162,2026-02-02 13:53:10.324162
