subject_id,course_code,semester,active,subject_name,professor,department,grade,subject_type,class_method,credits,is_night,schedule_count,schedule_text
9143,,,True,교육봉사활동,최현필,교직,4.0,교직,OFFLINE,2,False,0,
9144,,,True,교육봉사활동,김정수,교직,4.0,교직,OFFLINE,2,False,0,
9145,,,True,교육캡스톤디자인,김평원,교직,4.0,교직,OFFLINE,2,True,2,"목 12-14, 금 12-14"
9146,,,True,융합교육의 이론과 실제,김평원,교직,4.0,교직,ONLINE,2,True,1,금 10-12
9147,,,True,특수교육학개론,정혜경,교직,4.0,교직,OFFLINE,2,True,1,금 10-12
9148,,,True,특수교육학개론,정혜경,교직,4.0,교직,OFFLINE,2,True,1,목 10-12
9149,,,True,학교현장실습II,한은정,교직,4.0,교직,OFFLINE,2,False,1,수 2-4
9150,,,True,학교현장실습II,안효진,교직,4.0,교직,OFFLINE,2,False,1,금 2-4
9151,,,True,학교현장실습II,한은정,교직,4.0,교직,OFFLINE,2,False,1,화 5-7
9152,,,True,(이공계를위한)수학,김인현,교양,,핵교,OFFLINE,3,False,2,"화 2.5-4, 목 5.5-7"
9153,,,True,FITNESS TRAINING,전경규,교양,,핵교,OFFLINE,1,False,1,목 8-10
9154,,,True,INU전공탐구,융합자유전공대학,교양,,핵교,OFFLINE,3,False,1,수 5.5-7
9155,,,True,MBTI로찾아가는나의책,박상원,교양,,핵교,OFFLINE,3,False,1,수 1-4
9156,,,True,과학기술과인간의대화,정경숙,교양,,핵교,OFFLINE,3,False,1,수 4-7
9157,,,True,과학기술명저읽기,정경숙,교양,,핵교,OFFLINE,3,False,1,월 7-10
9158,,,True,과학기술명저읽기,정경숙,교양,,핵교,OFFLINE,3,False,1,수 7-10
9159,,,True,국제정세의이해,송윤진,교양,,핵교,OFFLINE,3,False,1,목 7-10
9160,,,True,국제정세의이해,송윤진,교양,,핵교,OFFLINE,3,False,1,월 5.5-8.5
9161,,,True,근대적지식인은어떻게탄생하였나세미나,이용화,교양,,핵교,OFFLINE,3,False,1,수 7-10
9162,,,True,근대적지식인은어떻게탄생하였나세미나,이상원,교양,,핵교,OFFLINE,3,False,1,수 7-10
9163,,,True,근현대문학거장과의만남,김계영,교양,,핵교,OFFLINE,3,False,1,목 3-6
9164,,,True,근현대문학거장과의만남,권혁준,교양,,핵교,OFFLINE,3,False,1,수 7-10
9165,,,True,근현대문학거장과의만남,김계영,교양,,핵교,OFFLINE,3,False,1,목 7-10
9166,,,True,근현대세계와한국사,황묘희,교양,,핵교,OFFLINE,3,False,1,금 7-10
9167,,,True,근현대세계와한국사,이상의,교양,,핵교,OFFLINE,3,False,1,수 7-10
9168,,,True,근현대세계와한국사,황묘희,교양,,핵교,OFFLINE,3,False,1,금 4-7
9169,,,True,근현대세계와한국사,이상의,교양,,핵교,OFFLINE,3,False,1,화 7-10
9170,,,True,기초독일어,최은녕,교양,,핵교,OFFLINE,3,False,1,목 6-9
9171,,,True,기초독일어,최은녕,교양,,핵교,OFFLINE,3,True,1,목 10-13
9172,,,True,기초독일어,최은녕,교양,,핵교,OFFLINE,3,False,1,목 1-4
9173,,,True,기초독일어,이원경,교양,,핵교,OFFLINE,3,False,1,금 2.5-5.5
9174,,,True,기초스페인어,문성주,교양,,핵교,OFFLINE,3,False,1,월 6-9
9175,,,True,기초스페인어,문성주,교양,,핵교,OFFLINE,3,False,1,월 2-5
9176,,,True,기초프랑스어,김용민,교양,,핵교,OFFLINE,3,False,1,목 5.5-8.5
9177,,,True,기초프랑스어,이명은,교양,,핵교,OFFLINE,3,False,1,수 6-9
9178,,,True,기초프랑스어,이명은,교양,,핵교,OFFLINE,3,True,1,수 10-13
9179,,,True,기초프랑스어,김영은,교양,,핵교,OFFLINE,3,False,1,금 1-4
9180,,,True,문제해결을위한파이썬,이선아,교양,,핵교,OFFLINE,3,False,1,월 6-9
9181,,,True,문제해결을위한파이썬,김백현,교양,,핵교,OFFLINE,3,False,1,수 7-10
9182,,,True,문제해결을위한파이썬,김백현,교양,,핵교,OFFLINE,3,False,1,화 6-9
9183,,,True,문학과함께행복의길찾기,전미정,교양,,핵교,OFFLINE,3,False,1,화 5-8
9184,,,True,문학과함께행복의길찾기,전미정,교양,,핵교,OFFLINE,3,False,1,월 5-8
9185,,,True,문학욕망의윤리를말하다,최혜림,교양,,핵교,OFFLINE,3,False,1,수 4-7
9186,,,True,미래를바꾸는말한마디,안호림,교양,,핵교,OFFLINE,3,False,1,화 7-10
9187,,,True,미래를바꾸는말한마디,안호림,교양,,핵교,OFFLINE,3,False,1,월 7-10
9188,,,True,미학의이해,윤영규,교양,,핵교,OFFLINE,3,False,1,수 2-5
9189,,,True,미학의이해,윤영규,교양,,핵교,OFFLINE,3,False,1,수 6-9
9190,,,True,비판적사고력연습,이재유,교양,,핵교,OFFLINE,3,True,1,목 10-13
9191,,,True,비판적사고력연습,이재유,교양,,핵교,OFFLINE,3,False,1,목 7-10
9192,,,True,사회과학고전읽기,조형진,교양,,핵교,OFFLINE,3,False,1,화 5.5-8.5
9193,,,True,서양의역사와문화,안창모,교양,,핵교,OFFLINE,3,False,1,목 7-10
9194,,,True,서양의역사와문화,안창모,교양,,핵교,OFFLINE,3,False,1,목 4-7
9195,,,True,세계공연예술산책,정지호,교양,,핵교,OFFLINE,3,False,1,화 2.5-5.5
9196,,,True,세상의심장으로자신을브랜드하라,양근용,교양,,핵교,OFFLINE,3,False,1,화 6-9
9197,,,True,스피치와토론,안호림,교양,,핵교,OFFLINE,3,True,1,월 10-13
