schedule_id,subject_id,subject_name,professor,department,grade,subject_type,day_of_week,start_time,end_time,duration
11383,9132,교육행정및교육경영,한은정,교직,3.0,교직,월,2.0,4.0,2.0
11384,9133,교직실무,한은정,교직,3.0,교직,수,5.0,7.0,2.0
11385,9134,학교현장실습I:교육현장컨설팅,한은정,교직,3.0,교직,월,4.0,5.0,1.0
11386,9135,교육방법및교육공학,신원석,교직,4.0,교직,수,2.0,4.0,2.0
11387,9136,교육방법및교육공학,신원석,교직,4.0,교직,수,4.0,6.0,2.0
11388,9145,교육캡스톤디자인,김평원,교직,4.0,교직,목,12.0,14.0,2.0
11389,9145,교육캡스톤디자인,김평원,교직,4.0,교직,금,12.0,14.0,2.0
11390,9146,융합교육의 이론과 실제,김평원,교직,4.0,교직,금,10.0,12.0,2.0
11391,9147,특수교육학개론,정혜경,교직,4.0,교직,금,10.0,12.0,2.0
11392,9148,특수교육학개론,정혜경,교직,4.0,교직,목,10.0,12.0,2.0
11393,9149,학교현장실습II,한은정,교직,4.0,교직,수,2.0,4.0,2.0
11394,9150,학교현장실습II,안효진,교직,4.0,교직,금,2.0,4.0,2.0
11395,9151,학교현장실습II,한은정,교직,4.0,교직,화,5.0,7.0,2.0
11396,9152,(이공계를위한)수학,김인현,교양,,핵교,화,2.5,4.0,1.5
11397,9152,(이공계를위한)수학,김인현,교양,,핵교,목,5.5,7.0,1.5
11398,9153,FITNESS TRAINING,전경규,교양,,핵교,목,8.0,10.0,2.0
11399,9154,INU전공탐구,융합자유전공대학,교양,,핵교,수,5.5,7.0,1.5
11400,9155,MBTI로찾아가는나의책,박상원,교양,,핵교,수,1.0,4.0,3.0
11401,9156,과학기술과인간의대화,정경숙,교양,,핵교,수,4.0,7.0,3.0
11402,9157,과학기술명저읽기,정경숙,교양,,핵교,월,7.0,10.0,3.0
11403,9158,과학기술명저읽기,정경숙,교양,,핵교,수,7.0,10.0,3.0
11404,9159,국제정세의이해,송윤진,교양,,핵교,목,7.0,10.0,3.0
11405,9160,국제정세의이해,송윤진,교양,,핵교,월,5.5,8.5,3.0
11406,9161,근대적지식인은어떻게탄생하였나세미나,이용화,교양,,핵교,수,7.0,10.0,3.0
11407,9162,근대적지식인은어떻게탄생하였나세미나,이상원,교양,,핵교,수,7.0,10.0,3.0
11408,9163,근현대문학거장과의만남,김계영,교양,,핵교,목,3.0,6.0,3.0
11409,9164,근현대문학거장과의만남,권혁준,교양,,핵교,수,7.0,10.0,3.0
11410,9165,근현대문학거장과의만남,김계영,교양,,핵교,목,7.0,10.0,3.0
11411,9166,근현대세계와한국사,황묘희,교양,,핵교,금,7.0,10.0,3.0
11412,9167,근현대세계와한국사,이상의,교양,,핵교,수,7.0,10.0,3.0
11413,9168,근현대세계와한국사,황묘희,교양,,핵교,금,4.0,7.0,3.0
11414,9169,근현대세계와한국사,이상의,교양,,핵교,화,7.0,10.0,3.0
11415,9170,기초독일어,최은녕,교양,,핵교,목,6.0,9.0,3.0
11416,9171,기초독일어,최은녕,교양,,핵교,목,10.0,13.0,3.0
11417,9172,기초독일어,최은녕,교양,,핵교,목,1.0,4.0,3.0
11418,9173,기초독일어,이원경,교양,,핵교,금,2.5,5.5,3.0
11419,9174,기초스페인어,문성주,교양,,핵교,월,6.0,9.0,3.0
